Год;Человек;Семей;Отклонения, человек;Отклонения, семей ;Численность населения, тыс.;Численность постоянного населения, тыс.
2014;121061;53998;0;0;2731,3;2721,6
2015;209160;151884;88099;97886;2737,2;2715,7
