I квартал года;На проведение спортивно–массовых мероприятий_1;Содержание детско-юношеских спортивных школ;Поддержка спорта высших достижений;Финансовая поддержка КП_Харьковский Дворец спорта;Содержание КП_Харьковский городской Центр физического здоровья населения_Спорт для всех;Содержание коммунального внешкольного учреждения_Харьковский городской комплексный центр клубов по месту жительства;Капитальные расходы за счет средств, передаваемых из общего фонда в бюджет развития (специальный фонд);Коммунальное внешкольное учреждение_Харьковский городской комплексный центр клубов по месту жительства;КП_Харьковский городской Центр физического здоровья населения_Спорт для всех;На проведение спортивно–массовых мероприятий_2;Содержание детско-юношеских спортивных школ;Поддержка спорта высших достижений;Финансовая поддержка КП_Харьковский Дворец спорта;Содержание КП_Харьковский городской Центр физического здоровья населения_Спорт для всех;Содержание КП_Харьковский городской Центр физического здоровья населения_Спорт для всех;Капитальные расходы за счет средств, передаваемых из общего фонда в бюджет развития (специальный фонд);Коммунальное внешкольное учреждение_Харьковский городской комплексный центр клубов по месту жительства;КП_Харьковский городской Центр физического здоровья населения_Спорт для всех;Запланировано_1;Профинансировано_2;Проведено соревнований;Профинансировано с городского бюджета соревнований и мероприятий;В 18-и детско-юношеских спортивных школах коммунальной собственности территориальной общины г. Харькова занимаются учеников;В ДЮСШ и СДЮСШОР подчиненных управлению занимаются учеников;Учебно-тренировочную работу в 18-и детско-юношеских спортивных школах коммунальной собственности территориальной общины г. Харькова осуществляют тренера;Из них штатных тренеров;В ДЮСШ и СДЮСШОР;Из них штатных тренеров
2015;280,8;14804,2;461,8;760,5;92,8;2978,1;835,3;835,3;0;205,9;13709,7;192;758,8;52,5;1541,2;835,3;836,3;0;20213,5;17295,4;63;59;19167;3595;629;486;188;139
2016;249,7;16311,3;162,1;830,3;81,1;2664,5;362,7;362,5;0,2;172,9;16115,9;160,1;824,8;69,7;2589,4;362,4;362,4;0;20661,7;20295,2;80;67;17464;3689;617;459;173;128
