
2010/2011;33;37;22,8;244,7;7,8;37,8;6,9;52,3;4100;206;66;1219;1013;36;83;51;917;0;21379;223032;24540;19326,9;901;240;27;54;11167
2011/2012;33;37;22,3;216;6,4;28,6;6,4;50,7;3940;210;66;1130;1049;38;72;66;888;198;10936;224630;24236;43953,4;876;251;27;54;10117
2012/2013;33;37;21,5;200,8;6,2;34,1;6,2;53,8;3837;225;64;1132;1029;38;73;55;883;0;18140;220937;23862;16417,6;872;249;27;54;8374
2013/2014;33;37;21,7;187,6;6,3;34,1;5,5;50;3835;222;63;1010;994;39;82;82;847;130;16961;220011;23538;15551;838;258;28;54;9214
2014/2015;32;36;20,5;169,6;5,7;30,6;6,1;45,8;3346;231;63;917;931;39;76;63;837;20;15132;288060;23345;15756,6;830;271;28;54;8514
2015/2016;32;37;19,4;162,3;5,3;26,5;6;39,6;3420;225;63;1202;922;40;78;79;818;0;20115;229697;22522;25709,1;812;279;28;54;7669
